 python scratch/run_v300_chunkwise_kaggle_standalone.py
=====================================================================================
EXPERIMENT BENCHMARK RUN: V300 STANDALONE CHUNKWISE PARALLEL CAPACITY SCALING
=====================================================================================
  * Exp ID:          v300_capacity_scaling_chunkwise_standalone
  * Hardware Device: CPU
  * PyTorch Version: 2.10.0+cpu
  * CUDA Available:  False (Version: N/A)
  * Seed:            42
  * Chunk Size C:    64
  * Layers:          3
  * Effective Batch: 32
  * Epochs / Steps:  20 epochs, 50 steps/epoch
  * LR Grid:         [0.002, 0.004, 0.008]
  * Sweeps d_k:      [32, 64, 128]
  * KV Pairs Sweep:  [32, 64, 128, 256]
  * ISO-FLOATS MAP:
      d_k= 32 -> Complex d_k= 32 ( 2048 floats/head) | Real d_k= 45 ( 2025 floats/head)
      d_k= 64 -> Complex d_k= 64 ( 8192 floats/head) | Real d_k= 90 ( 8100 floats/head)
      d_k=128 -> Complex d_k=128 (32768 floats/head) | Real d_k=181 (32761 floats/head)
=====================================================================================

=== SWEEP d_k = 32 (d_model = 64) ===

  >>> Pre-generating GPU Datasets for Load: 32 Pairs (L=256) <<<
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 13/20 Complete | Loss = 4.0328
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 14/20 Complete | Loss = 3.9670
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 15/20 Complete | Loss = 3.8966
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 16/20 Complete | Loss = 3.8098
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 17/20 Complete | Loss = 3.6957
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 18/20 Complete | Loss = 3.6101
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 19/20 Complete | Loss = 3.6053
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 20/20 Complete | Loss = 3.6144
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  1/20 Complete | Loss = 5.5913
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  2/20 Complete | Loss = 5.4600
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  3/20 Complete | Loss = 5.2765
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  4/20 Complete | Loss = 5.0810
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  5/20 Complete | Loss = 4.9220
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  6/20 Complete | Loss = 4.8227
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  7/20 Complete | Loss = 4.6751
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  8/20 Complete | Loss = 4.5629
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch  9/20 Complete | Loss = 4.4400
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 10/20 Complete | Loss = 4.4118
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 11/20 Complete | Loss = 4.2899
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 12/20 Complete | Loss = 4.2146
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 13/20 Complete | Loss = 4.1083
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 14/20 Complete | Loss = 4.0459
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 15/20 Complete | Loss = 3.9286
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 16/20 Complete | Loss = 3.8379
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 17/20 Complete | Loss = 3.8199
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 18/20 Complete | Loss = 3.7335
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 19/20 Complete | Loss = 3.6382
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0080] Epoch 20/20 Complete | Loss = 3.4975
      [ChunkwiseRealDeltaNetRectangular       | d_k=32] Pairs= 32 (L= 256) -> Best Acc:   3.93% (lr=0.002)
      [CausalAttentionMHA                     | lr=0.0020] Epoch  1/20 Complete | Loss = 5.6472
      [CausalAttentionMHA                     | lr=0.0020] Epoch  2/20 Complete | Loss = 5.5617
      [CausalAttentionMHA                     | lr=0.0020] Epoch  3/20 Complete | Loss = 5.4515
      [CausalAttentionMHA                     | lr=0.0020] Epoch  4/20 Complete | Loss = 5.2903
      [CausalAttentionMHA                     | lr=0.0020] Epoch  5/20 Complete | Loss = 4.9004
      [CausalAttentionMHA                     | lr=0.0020] Epoch  6/20 Complete | Loss = 0.5176
      [CausalAttentionMHA                     | lr=0.0020] Epoch  7/20 Complete | Loss = 0.0458
      [CausalAttentionMHA                     | lr=0.0020] Epoch  8/20 Complete | Loss = 0.0273
      [CausalAttentionMHA                     | lr=0.0020] Epoch  9/20 Complete | Loss = 0.0035
      [CausalAttentionMHA                     | lr=0.0020] Epoch 10/20 Complete | Loss = 0.0163
      [CausalAttentionMHA                     | lr=0.0020] Epoch 11/20 Complete | Loss = 0.0010
      [CausalAttentionMHA                     | lr=0.0020] Epoch 12/20 Complete | Loss = 0.0006
      [CausalAttentionMHA                     | lr=0.0020] Epoch 13/20 Complete | Loss = 0.0016
      [CausalAttentionMHA                     | lr=0.0020] Epoch 14/20 Complete | Loss = 0.0055
      [CausalAttentionMHA                     | lr=0.0020] Epoch 15/20 Complete | Loss = 0.0144
      [CausalAttentionMHA                     | lr=0.0020] Epoch 16/20 Complete | Loss = 0.0043
      [CausalAttentionMHA                     | lr=0.0020] Epoch 17/20 Complete | Loss = 0.0066
      [CausalAttentionMHA                     | lr=0.0020] Epoch 18/20 Complete | Loss = 0.0008
      [CausalAttentionMHA                     | lr=0.0020] Epoch 19/20 Complete | Loss = 0.0016
      [CausalAttentionMHA                     | lr=0.0020] Epoch 20/20 Complete | Loss = 0.0002
      [CausalAttentionMHA                     | lr=0.0040] Epoch  1/20 Complete | Loss = 5.6091
      [CausalAttentionMHA                     | lr=0.0040] Epoch  2/20 Complete | Loss = 5.4856
      [CausalAttentionMHA                     | lr=0.0040] Epoch  3/20 Complete | Loss = 5.2418
      [CausalAttentionMHA                     | lr=0.0040] Epoch  4/20 Complete | Loss = 0.2540
      [CausalAttentionMHA                     | lr=0.0040] Epoch  5/20 Complete | Loss = 0.0866
      [CausalAttentionMHA                     | lr=0.0040] Epoch  6/20 Complete | Loss = 0.0067
      [CausalAttentionMHA                     | lr=0.0040] Epoch  7/20 Complete | Loss = 0.0115
      [CausalAttentionMHA                     | lr=0.0040] Epoch  8/20 Complete | Loss = 0.0021
      [CausalAttentionMHA                     | lr=0.0040] Epoch  9/20 Complete | Loss = 0.0012
      [CausalAttentionMHA                     | lr=0.0040] Epoch 10/20 Complete | Loss = 0.0143
      [CausalAttentionMHA                     | lr=0.0040] Epoch 11/20 Complete | Loss = 0.0060
      [CausalAttentionMHA                     | lr=0.0040] Epoch 12/20 Complete | Loss = 0.0009
      [CausalAttentionMHA                     | lr=0.0040] Epoch 13/20 Complete | Loss = 0.0044
      [CausalAttentionMHA                     | lr=0.0040] Epoch 14/20 Complete | Loss = 0.0011
      [CausalAttentionMHA                     | lr=0.0040] Epoch 15/20 Complete | Loss = 0.0042
      [CausalAttentionMHA                     | lr=0.0040] Epoch 16/20 Complete | Loss = 0.0061
      [CausalAttentionMHA                     | lr=0.0040] Epoch 17/20 Complete | Loss = 0.0051
      [CausalAttentionMHA                     | lr=0.0040] Epoch 18/20 Complete | Loss = 0.0111
      [CausalAttentionMHA                     | lr=0.0040] Epoch 19/20 Complete | Loss = 0.0002
      [CausalAttentionMHA                     | lr=0.0040] Epoch 20/20 Complete | Loss = 0.0007
      [CausalAttentionMHA                     | lr=0.0080] Epoch  1/20 Complete | Loss = 5.5770
      [CausalAttentionMHA                     | lr=0.0080] Epoch  2/20 Complete | Loss = 5.4628
      [CausalAttentionMHA                     | lr=0.0080] Epoch  3/20 Complete | Loss = 1.1379
      [CausalAttentionMHA                     | lr=0.0080] Epoch  4/20 Complete | Loss = 0.0858
